zone;X;Y;time;idleDRTVehicles
4;439000.0;5717000.0;0.0;0
5;439000.0;5719000.0;0.0;0
6;439000.0;5721000.0;0.0;0
8;439000.0;5725000.0;0.0;0
601;479000.0;5751000.0;0.0;0
602;479000.0;5753000.0;0.0;0
603;479000.0;5755000.0;0.0;0
604;479000.0;5757000.0;0.0;0
605;479000.0;5759000.0;0.0;0
606;479000.0;5761000.0;0.0;0
607;479000.0;5763000.0;0.0;0
612;481000.0;5715000.0;0.0;0
613;481000.0;5717000.0;0.0;0
616;481000.0;5723000.0;0.0;0
617;481000.0;5725000.0;0.0;0
618;481000.0;5727000.0;0.0;0
619;481000.0;5729000.0;0.0;0
500;473000.0;5723000.0;0.0;0
501;473000.0;5725000.0;0.0;0
502;473000.0;5727000.0;0.0;0
503;473000.0;5729000.0;0.0;0
504;473000.0;5731000.0;0.0;0
505;473000.0;5733000.0;0.0;0
506;473000.0;5735000.0;0.0;0
507;473000.0;5737000.0;0.0;0
508;473000.0;5739000.0;0.0;0
630;481000.0;5751000.0;0.0;0
510;473000.0;5743000.0;0.0;0
631;481000.0;5753000.0;0.0;0
632;481000.0;5755000.0;0.0;0
511;473000.0;5745000.0;0.0;0
636;481000.0;5763000.0;0.0;0
637;481000.0;5765000.0;0.0;0
516;473000.0;5755000.0;0.0;0
518;473000.0;5759000.0;0.0;0
519;473000.0;5761000.0;0.0;0
642;483000.0;5717000.0;0.0;0
643;483000.0;5719000.0;0.0;0
523;475000.0;5711000.0;0.0;0
644;483000.0;5721000.0;0.0;0
524;475000.0;5713000.0;0.0;0
646;483000.0;5725000.0;0.0;0
405;465000.0;5765000.0;0.0;0
528;475000.0;5721000.0;0.0;0
408;467000.0;5713000.0;0.0;0
409;467000.0;5715000.0;0.0;0
530;475000.0;5725000.0;0.0;0
531;475000.0;5727000.0;0.0;0
410;467000.0;5717000.0;0.0;0
532;475000.0;5729000.0;0.0;0
411;467000.0;5719000.0;0.0;0
533;475000.0;5731000.0;0.0;0
412;467000.0;5721000.0;0.0;0
534;475000.0;5733000.0;0.0;0
414;467000.0;5725000.0;0.0;0
535;475000.0;5735000.0;0.0;0
536;475000.0;5737000.0;0.0;0
417;467000.0;5731000.0;0.0;0
418;467000.0;5733000.0;0.0;0
541;475000.0;5747000.0;0.0;0
300;459000.0;5729000.0;0.0;0
542;475000.0;5749000.0;0.0;0
543;475000.0;5751000.0;0.0;0
422;467000.0;5741000.0;0.0;0
301;459000.0;5731000.0;0.0;0
301;459000.0;5731000.0;28935.0;1
301;459000.0;5731000.0;29438.0;2
301;459000.0;5731000.0;30289.0;1
301;459000.0;5731000.0;30356.0;2
301;459000.0;5731000.0;30648.0;3
301;459000.0;5731000.0;31880.0;4
301;459000.0;5731000.0;33535.0;5
301;459000.0;5731000.0;37399.0;4
301;459000.0;5731000.0;53835.0;5
301;459000.0;5731000.0;55019.0;6
301;459000.0;5731000.0;56730.0;5
301;459000.0;5731000.0;57205.0;4
301;459000.0;5731000.0;57953.0;3
301;459000.0;5731000.0;58341.0;2
301;459000.0;5731000.0;60062.0;3
301;459000.0;5731000.0;61256.0;2
301;459000.0;5731000.0;86400.0;1
301;459000.0;5731000.0;86400.0;0
544;475000.0;5753000.0;0.0;0
423;467000.0;5743000.0;0.0;0
302;459000.0;5733000.0;0.0;0
302;459000.0;5733000.0;28352.0;1
302;459000.0;5733000.0;29116.0;0
302;459000.0;5733000.0;31952.0;1
302;459000.0;5733000.0;32384.0;2
302;459000.0;5733000.0;43606.0;1
302;459000.0;5733000.0;52865.0;0
302;459000.0;5733000.0;59576.0;1
302;459000.0;5733000.0;59981.0;2
302;459000.0;5733000.0;60505.0;1
302;459000.0;5733000.0;62119.0;0
302;459000.0;5733000.0;65311.0;1
302;459000.0;5733000.0;86400.0;0
424;467000.0;5745000.0;0.0;0
545;475000.0;5755000.0;0.0;0
303;459000.0;5735000.0;0.0;0
303;459000.0;5735000.0;1.0;1
303;459000.0;5735000.0;18906.0;0
303;459000.0;5735000.0;27441.0;1
303;459000.0;5735000.0;27692.0;2
303;459000.0;5735000.0;27735.0;1
303;459000.0;5735000.0;28253.0;0
303;459000.0;5735000.0;28513.0;1
303;459000.0;5735000.0;28551.0;2
303;459000.0;5735000.0;28751.0;3
303;459000.0;5735000.0;28800.0;4
303;459000.0;5735000.0;28917.0;3
303;459000.0;5735000.0;29083.0;4
303;459000.0;5735000.0;30645.0;5
303;459000.0;5735000.0;30730.0;6
303;459000.0;5735000.0;30805.0;7
303;459000.0;5735000.0;30933.0;8
303;459000.0;5735000.0;31248.0;9
303;459000.0;5735000.0;31276.0;10
303;459000.0;5735000.0;31598.0;11
303;459000.0;5735000.0;32015.0;12
303;459000.0;5735000.0;32238.0;13
303;459000.0;5735000.0;32747.0;14
303;459000.0;5735000.0;32784.0;15
303;459000.0;5735000.0;34209.0;16
303;459000.0;5735000.0;34430.0;17
303;459000.0;5735000.0;36247.0;16
303;459000.0;5735000.0;37815.0;15
303;459000.0;5735000.0;39869.0;14
303;459000.0;5735000.0;40515.0;13
303;459000.0;5735000.0;43785.0;14
303;459000.0;5735000.0;47061.0;15
303;459000.0;5735000.0;50192.0;16
303;459000.0;5735000.0;51403.0;15
303;459000.0;5735000.0;51820.0;14
303;459000.0;5735000.0;52204.0;13
303;459000.0;5735000.0;52557.0;12
303;459000.0;5735000.0;52964.0;11
303;459000.0;5735000.0;53402.0;10
303;459000.0;5735000.0;53440.0;9
303;459000.0;5735000.0;53643.0;8
303;459000.0;5735000.0;53760.0;7
303;459000.0;5735000.0;54151.0;8
303;459000.0;5735000.0;54274.0;7
303;459000.0;5735000.0;54778.0;8
303;459000.0;5735000.0;54969.0;7
303;459000.0;5735000.0;55233.0;6
303;459000.0;5735000.0;55488.0;7
303;459000.0;5735000.0;55573.0;8
303;459000.0;5735000.0;55797.0;9
303;459000.0;5735000.0;55843.0;8
303;459000.0;5735000.0;56323.0;9
303;459000.0;5735000.0;56412.0;10
303;459000.0;5735000.0;56449.0;9
303;459000.0;5735000.0;56453.0;10
303;459000.0;5735000.0;56525.0;11
303;459000.0;5735000.0;56902.0;10
303;459000.0;5735000.0;57129.0;11
303;459000.0;5735000.0;57656.0;12
303;459000.0;5735000.0;57715.0;11
303;459000.0;5735000.0;57828.0;12
303;459000.0;5735000.0;57911.0;13
303;459000.0;5735000.0;58235.0;12
303;459000.0;5735000.0;58524.0;11
303;459000.0;5735000.0;58699.0;10
303;459000.0;5735000.0;58790.0;9
303;459000.0;5735000.0;59636.0;10
303;459000.0;5735000.0;59674.0;11
303;459000.0;5735000.0;60198.0;10
303;459000.0;5735000.0;60872.0;11
303;459000.0;5735000.0;61077.0;12
303;459000.0;5735000.0;61144.0;13
303;459000.0;5735000.0;61171.0;14
303;459000.0;5735000.0;61751.0;15
303;459000.0;5735000.0;61980.0;14
303;459000.0;5735000.0;62271.0;15
303;459000.0;5735000.0;62291.0;14
303;459000.0;5735000.0;62595.0;13
303;459000.0;5735000.0;62617.0;14
303;459000.0;5735000.0;62849.0;13
303;459000.0;5735000.0;62916.0;14
303;459000.0;5735000.0;63151.0;15
303;459000.0;5735000.0;63640.0;14
303;459000.0;5735000.0;64658.0;13
303;459000.0;5735000.0;64854.0;14
303;459000.0;5735000.0;68460.0;15
303;459000.0;5735000.0;70681.0;16
303;459000.0;5735000.0;71762.0;17
303;459000.0;5735000.0;72907.0;18
303;459000.0;5735000.0;86400.0;17
303;459000.0;5735000.0;86400.0;16
303;459000.0;5735000.0;86400.0;15
303;459000.0;5735000.0;86400.0;14
303;459000.0;5735000.0;86400.0;13
303;459000.0;5735000.0;86400.0;12
303;459000.0;5735000.0;86400.0;11
303;459000.0;5735000.0;86400.0;10
303;459000.0;5735000.0;86400.0;9
303;459000.0;5735000.0;86400.0;8
303;459000.0;5735000.0;86400.0;7
303;459000.0;5735000.0;86400.0;6
303;459000.0;5735000.0;86400.0;5
303;459000.0;5735000.0;86400.0;4
303;459000.0;5735000.0;86400.0;3
303;459000.0;5735000.0;86400.0;2
303;459000.0;5735000.0;86400.0;1
303;459000.0;5735000.0;86400.0;0
425;467000.0;5747000.0;0.0;0
546;475000.0;5757000.0;0.0;0
305;459000.0;5739000.0;0.0;0
547;475000.0;5759000.0;0.0;0
426;467000.0;5749000.0;0.0;0
548;475000.0;5761000.0;0.0;0
427;467000.0;5751000.0;0.0;0
306;459000.0;5741000.0;0.0;0
549;475000.0;5763000.0;0.0;0
429;467000.0;5755000.0;0.0;0
308;459000.0;5745000.0;0.0;0
309;459000.0;5747000.0;0.0;0
430;467000.0;5757000.0;0.0;0
310;459000.0;5749000.0;0.0;0
431;467000.0;5759000.0;0.0;0
552;477000.0;5711000.0;0.0;0
553;477000.0;5713000.0;0.0;0
554;477000.0;5715000.0;0.0;0
315;459000.0;5759000.0;0.0;0
557;477000.0;5721000.0;0.0;0
437;469000.0;5713000.0;0.0;0
558;477000.0;5723000.0;0.0;0
317;459000.0;5763000.0;0.0;0
438;469000.0;5715000.0;0.0;0
318;459000.0;5765000.0;0.0;0
440;469000.0;5719000.0;0.0;0
562;477000.0;5731000.0;0.0;0
441;469000.0;5721000.0;0.0;0
200;451000.0;5761000.0;0.0;0
442;469000.0;5723000.0;0.0;0
563;477000.0;5733000.0;0.0;0
201;451000.0;5763000.0;0.0;0
564;477000.0;5735000.0;0.0;0
443;469000.0;5725000.0;0.0;0
565;477000.0;5737000.0;0.0;0
323;461000.0;5717000.0;0.0;0
444;469000.0;5727000.0;0.0;0
202;451000.0;5765000.0;0.0;0
445;469000.0;5729000.0;0.0;0
446;469000.0;5731000.0;0.0;0
204;453000.0;5711000.0;0.0;0
325;461000.0;5721000.0;0.0;0
447;469000.0;5733000.0;0.0;0
205;453000.0;5713000.0;0.0;0
326;461000.0;5723000.0;0.0;0
327;461000.0;5725000.0;0.0;0
328;461000.0;5727000.0;0.0;0
329;461000.0;5729000.0;0.0;0
209;453000.0;5721000.0;0.0;0
570;477000.0;5747000.0;0.0;0
571;477000.0;5749000.0;0.0;0
330;461000.0;5731000.0;0.0;0
572;477000.0;5751000.0;0.0;0
573;477000.0;5753000.0;0.0;0
331;461000.0;5733000.0;0.0;0
210;453000.0;5723000.0;0.0;0
574;477000.0;5755000.0;0.0;0
454;469000.0;5747000.0;0.0;0
212;453000.0;5727000.0;0.0;0
575;477000.0;5757000.0;0.0;0
576;477000.0;5759000.0;0.0;0
334;461000.0;5739000.0;0.0;0
455;469000.0;5749000.0;0.0;0
213;453000.0;5729000.0;0.0;0
213;453000.0;5729000.0;22595.0;1
213;453000.0;5729000.0;23257.0;0
213;453000.0;5729000.0;29804.0;1
213;453000.0;5729000.0;29823.0;0
213;453000.0;5729000.0;33837.0;1
213;453000.0;5729000.0;51888.0;0
213;453000.0;5729000.0;55093.0;1
213;453000.0;5729000.0;55334.0;0
213;453000.0;5729000.0;55625.0;1
213;453000.0;5729000.0;55794.0;2
213;453000.0;5729000.0;55854.0;1
213;453000.0;5729000.0;56305.0;2
213;453000.0;5729000.0;57610.0;3
213;453000.0;5729000.0;58051.0;4
213;453000.0;5729000.0;58422.0;5
213;453000.0;5729000.0;58436.0;6
213;453000.0;5729000.0;59207.0;7
213;453000.0;5729000.0;60094.0;8
213;453000.0;5729000.0;60333.0;9
213;453000.0;5729000.0;61701.0;10
213;453000.0;5729000.0;61706.0;11
213;453000.0;5729000.0;61718.0;12
213;453000.0;5729000.0;61943.0;11
213;453000.0;5729000.0;62207.0;10
213;453000.0;5729000.0;62244.0;11
213;453000.0;5729000.0;62438.0;12
213;453000.0;5729000.0;63153.0;11
213;453000.0;5729000.0;63154.0;12
213;453000.0;5729000.0;63260.0;13
213;453000.0;5729000.0;63439.0;14
213;453000.0;5729000.0;63547.0;15
213;453000.0;5729000.0;64039.0;16
213;453000.0;5729000.0;64087.0;17
213;453000.0;5729000.0;64467.0;16
213;453000.0;5729000.0;64502.0;15
213;453000.0;5729000.0;64758.0;14
213;453000.0;5729000.0;65112.0;13
213;453000.0;5729000.0;65288.0;14
213;453000.0;5729000.0;65698.0;13
213;453000.0;5729000.0;65984.0;14
213;453000.0;5729000.0;66190.0;13
213;453000.0;5729000.0;66437.0;12
213;453000.0;5729000.0;66450.0;11
213;453000.0;5729000.0;66700.0;12
213;453000.0;5729000.0;66976.0;11
213;453000.0;5729000.0;67078.0;10
213;453000.0;5729000.0;67191.0;9
213;453000.0;5729000.0;67365.0;8
213;453000.0;5729000.0;68006.0;7
213;453000.0;5729000.0;86400.0;6
213;453000.0;5729000.0;86400.0;5
213;453000.0;5729000.0;86400.0;4
213;453000.0;5729000.0;86400.0;3
213;453000.0;5729000.0;86400.0;2
213;453000.0;5729000.0;86400.0;1
213;453000.0;5729000.0;86400.0;0
577;477000.0;5761000.0;0.0;0
456;469000.0;5751000.0;0.0;0
335;461000.0;5741000.0;0.0;0
214;453000.0;5731000.0;0.0;0
214;453000.0;5731000.0;1.0;1
214;453000.0;5731000.0;1.0;2
214;453000.0;5731000.0;1.0;3
214;453000.0;5731000.0;1.0;4
214;453000.0;5731000.0;1.0;5
214;453000.0;5731000.0;1.0;6
214;453000.0;5731000.0;1.0;7
214;453000.0;5731000.0;1.0;8
214;453000.0;5731000.0;1.0;9
214;453000.0;5731000.0;1.0;10
214;453000.0;5731000.0;1.0;11
214;453000.0;5731000.0;1.0;12
214;453000.0;5731000.0;1.0;13
214;453000.0;5731000.0;1.0;14
214;453000.0;5731000.0;1.0;15
214;453000.0;5731000.0;1.0;16
214;453000.0;5731000.0;1.0;17
214;453000.0;5731000.0;1.0;18
214;453000.0;5731000.0;1.0;19
214;453000.0;5731000.0;1.0;20
214;453000.0;5731000.0;1.0;21
214;453000.0;5731000.0;1.0;22
214;453000.0;5731000.0;1.0;23
214;453000.0;5731000.0;1.0;24
214;453000.0;5731000.0;1.0;25
214;453000.0;5731000.0;1.0;26
214;453000.0;5731000.0;1.0;27
214;453000.0;5731000.0;1.0;28
214;453000.0;5731000.0;1.0;29
214;453000.0;5731000.0;1.0;30
214;453000.0;5731000.0;18432.0;29
214;453000.0;5731000.0;18732.0;28
214;453000.0;5731000.0;19020.0;27
214;453000.0;5731000.0;19138.0;26
214;453000.0;5731000.0;19387.0;25
214;453000.0;5731000.0;19795.0;24
214;453000.0;5731000.0;20027.0;23
214;453000.0;5731000.0;20244.0;22
214;453000.0;5731000.0;20652.0;21
214;453000.0;5731000.0;20948.0;20
214;453000.0;5731000.0;21085.0;19
214;453000.0;5731000.0;21301.0;18
214;453000.0;5731000.0;21761.0;17
214;453000.0;5731000.0;21978.0;16
214;453000.0;5731000.0;22164.0;15
214;453000.0;5731000.0;22280.0;14
214;453000.0;5731000.0;22547.0;13
214;453000.0;5731000.0;22736.0;12
214;453000.0;5731000.0;22784.0;13
214;453000.0;5731000.0;23141.0;14
214;453000.0;5731000.0;23171.0;13
214;453000.0;5731000.0;23365.0;14
214;453000.0;5731000.0;23417.0;13
214;453000.0;5731000.0;23520.0;12
214;453000.0;5731000.0;23567.0;11
214;453000.0;5731000.0;23612.0;12
214;453000.0;5731000.0;23677.0;11
214;453000.0;5731000.0;23758.0;12
214;453000.0;5731000.0;24145.0;11
214;453000.0;5731000.0;24187.0;10
214;453000.0;5731000.0;24243.0;9
214;453000.0;5731000.0;24341.0;8
214;453000.0;5731000.0;24360.0;7
214;453000.0;5731000.0;24428.0;6
214;453000.0;5731000.0;24701.0;5
214;453000.0;5731000.0;24830.0;4
214;453000.0;5731000.0;24835.0;3
214;453000.0;5731000.0;24914.0;4
214;453000.0;5731000.0;24934.0;3
214;453000.0;5731000.0;25199.0;2
214;453000.0;5731000.0;25293.0;1
214;453000.0;5731000.0;25585.0;0
214;453000.0;5731000.0;28837.0;1
214;453000.0;5731000.0;28928.0;0
214;453000.0;5731000.0;29313.0;1
214;453000.0;5731000.0;29424.0;2
214;453000.0;5731000.0;29462.0;1
214;453000.0;5731000.0;30215.0;0
214;453000.0;5731000.0;30693.0;1
214;453000.0;5731000.0;30795.0;0
214;453000.0;5731000.0;35403.0;1
214;453000.0;5731000.0;35436.0;0
214;453000.0;5731000.0;38609.0;1
214;453000.0;5731000.0;38701.0;0
214;453000.0;5731000.0;40190.0;1
214;453000.0;5731000.0;40242.0;0
214;453000.0;5731000.0;41551.0;1
214;453000.0;5731000.0;41570.0;0
214;453000.0;5731000.0;43442.0;1
214;453000.0;5731000.0;43721.0;0
214;453000.0;5731000.0;44280.0;1
214;453000.0;5731000.0;44296.0;0
214;453000.0;5731000.0;46180.0;1
214;453000.0;5731000.0;46349.0;2
214;453000.0;5731000.0;47035.0;3
214;453000.0;5731000.0;47397.0;4
214;453000.0;5731000.0;47990.0;5
214;453000.0;5731000.0;48231.0;6
214;453000.0;5731000.0;49438.0;7
214;453000.0;5731000.0;49617.0;6
214;453000.0;5731000.0;49738.0;7
214;453000.0;5731000.0;50154.0;8
214;453000.0;5731000.0;50491.0;9
214;453000.0;5731000.0;51157.0;10
214;453000.0;5731000.0;51163.0;11
214;453000.0;5731000.0;52349.0;12
214;453000.0;5731000.0;52416.0;11
214;453000.0;5731000.0;52441.0;12
214;453000.0;5731000.0;52528.0;13
214;453000.0;5731000.0;52630.0;14
214;453000.0;5731000.0;53123.0;13
214;453000.0;5731000.0;53180.0;12
214;453000.0;5731000.0;53390.0;11
214;453000.0;5731000.0;53405.0;12
214;453000.0;5731000.0;53553.0;13
214;453000.0;5731000.0;53684.0;14
214;453000.0;5731000.0;53819.0;15
214;453000.0;5731000.0;54000.0;16
214;453000.0;5731000.0;54070.0;17
214;453000.0;5731000.0;54178.0;18
214;453000.0;5731000.0;54199.0;17
214;453000.0;5731000.0;54217.0;16
214;453000.0;5731000.0;54346.0;17
214;453000.0;5731000.0;54520.0;18
