zone;centerX;centerY;nRequests;sumWaitTime;meanWaitTime;min;max;p95;p90;p80;p75;p50
100;445000.0;5735000.0;1;687;687.0;687.0;687.0;687.0;687.0;687.0;687.0;687.0
101;445000.0;5737000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
103;445000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
105;445000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
106;445000.0;5747000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
112;445000.0;5759000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
114;445000.0;5763000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
117;447000.0;5711000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
122;447000.0;5721000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
123;447000.0;5723000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
124;447000.0;5725000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
125;447000.0;5727000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
127;447000.0;5731000.0;1;793;793.0;793.0;793.0;793.0;793.0;793.0;793.0;793.0
128;447000.0;5733000.0;2;904;452.0;259.0;645.0;645.0;645.0;645.0;645.0;452.0
130;447000.0;5737000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
131;447000.0;5739000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
132;447000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
134;447000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
141;447000.0;5759000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
142;447000.0;5761000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
143;447000.0;5763000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
144;447000.0;5765000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
147;449000.0;5713000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
149;449000.0;5717000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
150;449000.0;5719000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
151;449000.0;5721000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
152;449000.0;5723000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
154;449000.0;5727000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
155;449000.0;5729000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
156;449000.0;5731000.0;2;1630;815.0;476.0;1154.0;1154.0;1154.0;1154.0;1154.0;815.0
157;449000.0;5733000.0;51;29953;587.313725490196;42.0;1161.0;1136.2;1096.0000000000002;926.2;862.0;533.0
158;449000.0;5735000.0;2;834;417.0;339.0;495.0;495.0;495.0;495.0;495.0;417.0
159;449000.0;5737000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
16;439000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
160;449000.0;5739000.0;1;685;685.0;685.0;685.0;685.0;685.0;685.0;685.0;685.0
161;449000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
162;449000.0;5743000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
163;449000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
169;449000.0;5757000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
17;439000.0;5743000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
171;449000.0;5761000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
178;451000.0;5717000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
179;451000.0;5719000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18;439000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
180;451000.0;5721000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
181;451000.0;5723000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
182;451000.0;5725000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
183;451000.0;5727000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
184;451000.0;5729000.0;1;590;590.0;590.0;590.0;590.0;590.0;590.0;590.0;590.0
185;451000.0;5731000.0;17;11096;652.7058823529412;118.0;1173.0;1173.0;1129.8;1020.4000000000001;945.0;578.0
186;451000.0;5733000.0;104;56891;547.0288461538462;2.0;1224.0;1134.0;1093.5;968.0;861.5;493.5
187;451000.0;5735000.0;220;119612;543.690909090909;6.0;1187.0;1099.95;1062.5;899.0;844.5;500.5
188;451000.0;5737000.0;19;8481;446.36842105263156;61.0;1183.0;1183.0;1079.0;695.0;670.0;313.0
189;451000.0;5739000.0;1;348;348.0;348.0;348.0;348.0;348.0;348.0;348.0;348.0
19;439000.0;5747000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
190;451000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
191;451000.0;5743000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
192;451000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
199;451000.0;5759000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
200;451000.0;5761000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
201;451000.0;5763000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
202;451000.0;5765000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
204;453000.0;5711000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
205;453000.0;5713000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
209;453000.0;5721000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
21;439000.0;5751000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
210;453000.0;5723000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
212;453000.0;5727000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
213;453000.0;5729000.0;86;27989;325.45348837209303;7.0;1159.0;1049.6;905.9999999999999;593.6;456.0;207.5
214;453000.0;5731000.0;653;368134;563.7580398162326;4.0;1213.0;1129.6;1073.4;913.0;831.0;536.0
215;453000.0;5733000.0;873;514360;589.1867124856815;2.0;1231.0;1141.3;1071.2;927.2;875.5;562.0
216;453000.0;5735000.0;1474;846421;574.234056987788;10.0;1236.0;1124.25;1063.0;897.0;830.25;550.5
